year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20100309,2.3,-0.8,5.8,5.7,"15,600"
20100310,-0.3,-2.9,2.6,3.9,"16,000"
20100311,3,-2.8,8.4,0,"17,040"
20100312,8.3,1.7,14.5,0,"4,300 "
20100313,6.1,1.6,12.5,0,"10,680"
20100314,8,1,12.9,1.1,"16,940"
20100315,9.4,4.5,14.4,16.5,"15,600"
20100316,3.2,-0.4,7.2,0,"16,000"
20100317,2.4,-2.7,7.3,1.1,"17,040"
20100318,2.1,-1.8,6.5,2.3,"4,440 "
20100319,6,-3.5,13.9,0,"10,680"
20100320,10.9,5.1,18.5,1,"16,940"
20100321,4.7,1,9.3,0,"15,600"
20100322,4.4,0.4,8,2,"16,000"
20100323,7,3.3,11.4,2.4,"17,040"
20100324,8.3,3.9,13.1,0.1,"10,680"
20100325,5.1,1.4,8.5,4.6,"16,940"
20100326,3.2,-2,8,0,"15,600"
20100327,5.6,0.5,10,0.9,"16,000"
20100328,6.2,1.7,11.4,0,"17,040"
20100329,5.6,-1.3,12.9,0,"10,680"
20100330,7.8,1,13.6,0,"16,940"
20100331,8.8,6.3,10.9,18.8,"15,600"
20100401,8.9,5.1,11.6,15.8,"16,000"
20100402,7.3,1.3,12.7,0,"17,040"
20100403,6.2,0.8,12.4,0,"13,043"
20100404,8.4,-0.5,16.6,0,"14,425"
20100405,11.9,4.9,19,0,"12,125"
20100406,10,5.1,15.2,0.1,"12,740"
20100407,6.9,1.4,12.9,0.1,"12,975"
20100408,8.5,0,16.5,0,"12,833"
20100409,11.5,4.6,19.5,0,"12,740"
20100410,12.2,6.9,17.7,0.1,"12,975"
20100411,12.3,7.9,17,0.9,"12,833"
20100412,11.8,9.2,15.9,3.8,"12,740"
20100413,6.9,3,11.3,1.6,"12,975"
20100414,4.4,0.9,8.9,0.7,"12,833"
20100415,6.2,-0.2,12.5,0,"12,740"
20100416,7.4,0.2,14.4,0,"12,975"
20100417,8.8,0.8,16.5,0,"12,740"
20100418,10.9,3.8,16.3,0.2,"12,975"
20100419,14.2,10.1,18.4,5.5,"12,833"
20100420,15.6,10.2,22.5,0.2,"5,900 "
20100421,12.4,8.7,16.6,8,"12,740"
20100422,9.9,7.9,12.3,13.9,"12,975"
20100423,9.6,6.2,14.5,2,"12,833"
20100424,10.5,4,17.6,0,"12,740"
20100425,12.7,3.8,20.9,0,"12,975"
20100426,12.4,9,17.5,23.7,"12,833"
20100427,10.2,5.6,14.7,4.2,"12,740"
20100428,6.3,3.2,10,7.8,"12,975"
20100429,10.2,5.2,15,0.5,"12,833"
20100430,11.4,5.7,16.8,0,"12,740"
20100501,12.5,4.3,19.9,0,"12,975"
20100502,16.8,7.3,25.1,0,"12,833"
20100503,20,13.7,25.8,0,"12,740"
20100504,20.8,15,27.1,0,"12,975"
20100505,20.2,14,25.7,0.4,"12,833"
20100506,17.6,11.6,23.6,5.2,"7,000"
20100507,16.7,9.9,23.9,0,"11,600"
20100508,17.2,9.3,24.8,0,"11,000"
20100509,18.1,11.6,25.3,0,"11,000"
20100510,16.6,12.4,22,0.1,"13,300"
20100511,13.9,8.5,20.3,0.8,"7,000"
20100512,13.8,7.9,20.4,0,"11,600"
20100513,14.5,8.2,21.2,0,"11,000"
20100514,15.9,8.7,23.1,0,"11,000"
20100515,16,9.8,22.5,0,"13,300"
20100516,18.3,10.2,26.5,0,"7,000"
20100517,19.4,11.5,26.9,5.8,"11,600"
20100518,18,16.4,19.7,51.4,"11,000"
20100519,19.3,15.1,24.6,2.4,"11,000"
20100520,20.6,13.9,28.2,0,"13,300"
20100521,21.7,13.8,30.2,0,"7,000"
20100522,17.8,14.7,22.6,24.2,"11,600"
20100523,15.8,14.3,17.5,26.8,"11,000"
20100524,15,13.5,17.3,4.8,"11,000"
20100525,15.2,12.9,18.4,1.9,"13,300"
20100526,16.3,11.9,21.4,0.2,"7,000"
20100527,16,10.2,22.4,0,"11,600"
20100528,15.5,11.3,20,0,"11,000"
20100529,17.3,12.7,23.5,0,"11,000"
20100530,16.8,11.5,22.9,0,"13,300"
20100531,16.1,11.6,21.5,0.1,"7,000"
20100601,16.4,9.7,23.1,0,"11,600"
20100602,18.4,11,25.5,0,"11,000"
20100603,20.5,13.5,27.6,0,"11,000"
20100604,21.5,14.8,28.7,0,"13,300"
20100605,22,15.3,29.6,0.5,"7,000"
20100606,22.1,16.1,29.7,1.6,"11,600"
20100607,21.7,16.3,28.3,0.6,"11,000"
20100608,21.4,14.9,28.1,0,"11,000"
20100609,22.4,14.8,30,0,"13,300"
20100610,22.6,15.8,30,0,"7,000"
20100611,22.3,16,28.6,0.8,"11,600"
20100612,20.3,17.6,23.3,11.9,"11,000"
20100613,22.7,19,27.7,2.9,"11,000"
20100614,23,18.8,28.1,2.8,"13,300"
20100615,23,19.4,28.7,2.3,"7,000"
20100616,23.4,18.6,29.3,0.2,"11,600"
20100617,24.5,19.5,30.1,0,"11,000"
20100618,23.8,20.7,27.9,1.8,"11,000"
20100619,22.9,20.2,27.1,2.3,"13,300"
20100620,23.4,20.1,28.1,4.6,"7,000"
20100621,23.1,18.8,28.6,0,"11,600"
20100622,23,17,29.3,0,"11,000"
20100623,22.5,17.4,28.4,0,"11,000"
20100624,23.1,16.5,29.9,0,"13,300"
20100625,23.7,18.6,29.6,0.8,"7,000"
20100626,22.6,20.4,25.1,11.4,"11,600"
20100627,22.7,20.6,25.5,3.9,"11,000"
20100628,23.2,20,27.9,9.2,"11,000"
20100629,24.2,20.1,29.4,0.1,"13,300"
20100630,24.1,21.3,28.1,3.7,"7,000"
20100701,24.8,21.8,28.8,5,"11,600"
20100702,24.3,23,26.2,17.1,"11,000"
20100703,24.8,22.8,27.9,6.1,"11,000"
20100704,24.2,22.3,27.1,1.4,"13,300"
20100705,25.3,22.1,30.1,1,"7,000"
20100706,25.8,21.3,31.6,0.4,"11,600"
20100707,24.7,20.7,29.8,1.1,"11,000"
20100708,23.7,20.1,28.4,0.7,"11,000"
20100709,24.5,20.4,30.2,0.8,"13,300"
20100710,24.6,20.4,29.3,4.6,"7,000"
20100711,22.1,20.6,24.5,57.6,"11,600"
20100712,23.2,20.1,26.7,0.6,"11,000"
20100713,23.2,20.3,27,11.3,"11,000"
20100714,23.9,20,28.7,0.1,"13,300"
20100715,24.4,20.5,29.3,0.9,"10,680"
20100716,24.1,22,27.1,54.1,"16,940"
20100717,25.1,23.2,27.8,36.6,"15,600"
20100718,26.8,23.5,30.8,1.1,"16,000"
20100719,27.1,23.4,31.9,0.7,"17,040"
20100720,27.5,23.6,32,0.5,"10,680"
20100721,27.7,24.1,32,2.2,"16,940"
20100722,27.9,24.4,32.4,0.2,"15,600"
20100723,26.2,23.1,30.9,21.3,"16,000"
20100724,26,22.9,30.9,6.7,"17,040"
20100725,26,22.8,31.1,5.6,"4,300 "
20100726,26.3,23.1,31.1,1.9,"10,680"
20100727,26.7,22.9,31.9,3.2,"16,940"
20100728,25.2,22.5,28.5,14.4,"15,600"
20100729,26.5,23.4,30.9,0.7,"16,000"
20100730,27,24.1,30.9,0.1,"17,040"
20100731,27.8,24.3,31.7,0,"4,440 "
20100801,28.5,25.2,33,0,"10,680"
20100802,27.3,24.2,31.8,4.4,"16,940"
20100803,26.2,23.5,29.9,1.8,"15,600"
20100804,28.2,24.5,32.9,1.9,"16,000"
20100805,28.8,25.2,33.4,2.6,"17,040"
20100806,27.9,25.5,32.2,9.1,"10,680"
20100807,26.9,24,31.7,8.4,"16,940"
20100808,27,23.1,32.3,1.9,"15,600"
20100809,27.9,22.8,33.3,1.3,"16,000"
20100810,26.3,24.5,29.5,43.3,"17,040"
20100811,26.8,24.3,30.4,32.4,"10,680"
20100812,26.3,22.9,30.4,3.1,"16,940"
20100813,26.2,23.6,29.8,38,"15,600"
20100814,27.1,24.8,30,14,"16,000"
20100815,27,24.7,30.1,38.2,"17,040"
20100816,25.4,22.8,29.2,20.6,"13,043"
20100817,25.8,22.3,30.7,16.9,"14,425"
20100818,26.7,23.2,31.8,14.4,"12,125"
20100819,27.6,24,32.4,0.4,"12,740"
20100820,28.1,24.2,33.3,0.2,"12,975"
20100821,28.5,24.3,33.9,0,"12,833"
20100822,28.5,24.3,33.6,0.2,"12,740"
20100823,27.7,24.4,32.1,6,"12,975"
20100824,26.5,23.6,31,6.8,"12,833"
20100825,24.4,22.4,28.1,19.3,"12,740"
20100826,25.5,22.6,29.4,12.7,"12,975"
20100827,26,23,29.9,6,"12,833"
20100828,26.2,24,28.8,18.3,"12,740"
20100829,25.8,23.5,29.3,29.3,"12,975"
20100830,25.9,23.5,30,4.7,"12,740"
20100831,25.4,23,29.9,17,"12,975"
20100901,26.6,23,31.7,14.8,"12,833"
20100902,26,23.5,29.8,26.7,"5,900 "
20100903,26.8,23.4,31.7,3.4,"12,740"
20100904,26.9,23,32.1,0.1,"12,975"
20100905,26.6,23.2,32.3,10.3,"12,833"
20100906,24.5,22.9,26.9,21.5,"12,740"
20100907,23.9,21.6,27.1,18.6,"12,975"
20100908,22.1,19.9,25.2,0.2,"12,833"
20100909,22.6,19.3,26.3,12.4,"12,740"
20100910,25.1,21.5,29.8,17.4,"12,975"
20100911,24.2,22.6,26.5,42.6,"12,833"
20100912,23.4,20.3,27.3,34.2,"12,740"
20100913,22.7,19,28,0.2,"12,975"
20100914,22.6,18.8,28,0.2,"12,833"
20100915,22.3,17.6,28.5,0.5,"12,740"
20100916,22.3,16.9,29.5,0,"12,975"
20100917,22.8,17.3,30,0,"12,833"
20100918,23.3,18.1,30.1,0,"7,000"
20100919,21.9,18.2,26.4,6.1,"11,600"
20100920,23.2,20.2,27.3,7.4,"11,000"
20100921,24.9,20.6,29.7,30.1,"11,000"
20100922,18.5,16.1,23.2,9.7,"13,300"
20100923,17.7,13.6,23.3,0.2,"7,000"
20100924,17.3,12.1,23.9,0,"11,600"
20100925,17.3,12.3,23.7,0,"11,000"
20100926,17,13.1,22.6,0.1,"11,000"
20100927,17.5,13.1,23.7,0.6,"13,300"
20100928,16.3,10.6,21.7,0.5,"7,000"
20100929,14.1,9.2,19.9,0,"11,600"
20100930,14.8,9.4,22.3,0,"11,000"
20101001,15.6,9.2,23.2,0,"11,000"
20101002,17.8,12.3,22.6,12.9,"13,300"
20101003,19,15.3,23.5,6.7,"7,000"
20101004,15.6,13.1,19,2.3,"11,600"
20101005,15.4,11.4,20.5,0.1,"11,000"
20101006,15.7,10.4,22.8,0,"11,000"
20101007,16.9,11.3,24.1,0,"13,300"
20101008,17.7,14.1,22.7,3.9,"7,000"
20101009,18.1,14.4,23.7,0.7,"11,600"
20101010,17.6,13,24.6,0,"11,000"
20101011,17.1,12.5,22.5,0.1,"11,000"
20101012,17.3,13.3,22.9,0,"13,300"
20101013,16.2,12.7,20.8,0.3,"7,000"
20101014,15.8,11.4,20.9,0,"11,600"
20101015,13.9,9.1,19.1,0,"11,000"
20101016,14.5,8.2,21.9,0,"11,000"
20101017,14.7,9.2,22.2,0.1,"13,300"
20101018,14.2,8.9,21.7,0.1,"7,000"
20101019,15.1,9.4,22.7,0,"11,600"
20101020,15.3,10.5,21.9,0,"11,000"
20101021,15.5,10.8,21.3,1.1,"11,000"
20101022,15.5,10.8,22.1,0,"13,300"
20101023,15.2,9.9,20.8,0.3,"7,000"
20101024,16.1,13.5,20.5,8.1,"11,600"
20101025,13.1,7.8,17.9,0.3,"11,000"
20101026,5.3,0.8,9.8,0,"11,000"
20101027,6.7,-0.5,13.3,0,"13,300"
20101028,7.6,1.8,14.7,0,"7,000"
20101029,9.1,1.3,17.3,0,"11,600"
20101030,11.3,5.7,18.2,0,"11,000"
20101031,11.3,5.8,17.9,0.6,"11,000"
20101101,11.4,5.7,17.6,0,"13,300"
20101102,8,3.1,12.6,0,"7,000"
20101103,6.9,0.2,14,0,"11,600"
20101104,9.1,2.5,16.9,0,"11,000"
20101105,10.2,4.6,17.7,0,"11,000"
20101106,10.7,5.2,18.1,0,"13,300"
20101107,10.8,5.7,17.8,0.4,"7,000"
20101108,9.4,4.5,14,1.5,"11,600"
20101109,6.1,3.3,9.9,0.1,"11,000"
20101110,5.8,0.2,12.3,0,"11,000"
20101111,9.9,1.6,16.5,5.5,"13,300"
20101112,10.2,4.3,15.3,0.3,"7,000"
20101113,8.9,1.8,16.3,0,"11,600"
20101114,9.2,5.2,14.4,0,"11,000"
20101115,4.1,-0.9,8.8,0,"11,000"
20101116,3.4,-2.7,10.6,0,"13,300"
20101117,5.3,-0.1,12.6,0,"7,000"
20101118,5.1,-0.6,13.4,0,"11,600"
20101119,4.6,-0.9,12.2,0,"11,000"
20101120,6.8,0,16,0,"11,000"
20101121,9.5,2.4,17.3,0,"13,300"
20101122,8.6,2.1,14.3,1.3,"7,000"
20101123,5.6,-1.5,13.2,0,"11,600"
20101124,7.4,1.6,13.8,0,"11,000"
20101125,5.6,1.1,10.4,0,"11,000"
20101126,1.8,-2.7,7.6,0,"13,300"
20101127,3.3,-3.3,10.8,1.3,"10,680"
20101128,1.2,-3.1,5.8,0.2,"16,940"
20101129,4.7,-1.5,11.9,0.9,"15,600"
20101130,7.8,2.3,15.1,0.6,"16,000"
20101201,7.2,2.1,15.3,0,"17,040"
20101202,8.2,3.6,13.2,1.2,"10,680"
20101203,3.8,-0.4,10,0.6,"16,940"
20101204,3.4,-2.7,10.2,0,"15,600"
20101205,7.8,1.1,14.6,0,"16,000"
20101206,6,0.3,12.1,1,"17,040"
20101207,0.8,-2.7,6,0.3,"4,300 "
20101208,1.1,-3.5,5.9,2.1,"10,680"
20101209,0.3,-3.8,5,0.1,"16,940"
20101210,4,-5,11.4,0.5,"15,600"
20101211,1.6,-4.7,9.8,0,"16,000"
20101212,-0.8,-7.4,4.8,0.1,"17,040"
20101213,3.7,0.9,5.8,11.9,"4,440 "
20101214,0.8,-5,5.7,0,"10,680"
20101215,-6,-8.7,-2.4,0.1,"16,940"
20101216,-5,-10,0,0,"15,600"
20101217,0,-4.9,4.7,0.8,"16,000"
20101218,1,-4.6,8.1,0,"17,040"
20101219,5.5,-1.6,11.3,0,"10,680"
20101220,4.8,-0.4,11.8,0,"16,940"
20101221,3.6,-1.9,11,0,"15,600"
20101222,3.7,-1.1,10.6,0,"16,000"
20101223,1.8,-3.7,7.9,0,"17,040"
20101224,-6.8,-9.5,-2.7,0,"10,680"
20101225,-7.1,-11,-3.1,0.4,"16,940"
20101226,-5.3,-9.6,-1,0.9,"15,600"
20101227,-1.4,-6.6,3.6,0.6,"16,000"
20101228,0.6,-3.4,4.7,3.8,"17,040"
20101229,-2.2,-5.8,1.8,0.2,"13,043"
20101230,-2.8,-6.4,1,4,"14,425"
20101231,-6.1,-9.3,-2.3,1,"12,125"
20110101,-5,-10.4,0.7,0.4,"12,740"
20110102,-3.5,-9.5,3.6,0,"12,975"
20110103,-3.3,-8.5,1.8,1.8,"12,833"
20110104,-2,-6.8,2.2,0,"12,740"
20110105,-0.7,-4,2.5,0,"12,975"
20110106,-4.1,-7.3,-0.5,0.1,"12,833"
20110107,-5.5,-10.8,0.6,0,"12,740"
20110108,-2.6,-10,3.4,0,"12,975"
20110109,-2.9,-8.2,1.4,0,"12,833"
20110110,-6.6,-11.8,-0.8,0,"12,740"
20110111,-3.6,-9.5,1.5,0.4,"12,975"
20110112,-5.1,-9.2,-1.1,0,"12,740"
20110113,-5.6,-11.6,1.4,0,"12,975"
20110114,-2.7,-9.5,3.5,0.1,"12,833"
20110115,-7.7,-13,-1.8,0.2,"5,900 "
20110116,-10.1,-14.8,-5.2,0.1,"12,740"
20110117,-7.1,-13.2,-0.6,0,"12,975"
20110118,-5,-10.6,0.5,0,"12,833"
20110119,-4.2,-8.6,0.8,0,"12,740"
20110120,-5.4,-9.3,-0.9,0,"12,975"
20110121,-5,-9.6,0.8,0,"12,833"
20110122,-3.2,-8.9,3,0,"12,740"
20110123,-2.1,-6.6,2.7,1.4,"12,975"
20110124,-4.7,-8.2,-1.4,0.3,"12,833"
20110125,-6,-10.7,-0.3,0,"12,740"
20110126,-5.9,-10.5,-0.4,0,"12,975"
20110127,-5.8,-10.5,-0.5,0,"12,833"
20110128,-4.5,-8.2,0.4,0,"12,740"
20110129,-6.5,-10.5,-2,0.2,"12,975"
20110130,-7.3,-11.8,-2.8,0.2,"12,833"
20110131,-4.8,-11.9,1.3,0,"7,000"
20110201,-0.2,-6.7,7.2,0,"11,600"
20110202,1.5,-3.9,8.9,0,"11,000"
20110203,1,-5.2,8.7,0,"11,000"
20110204,1.9,-3.7,8.8,0,"13,300"
20110205,1.4,-3.4,8.5,0,"7,000"
20110206,2.5,-3.3,8.6,0,"11,600"
20110207,2,-2.9,7.6,0,"11,000"
20110208,2.6,-0.7,6.3,1.3,"11,000"
20110209,0.8,-2.9,5.5,0,"13,300"
20110210,-1,-4.6,3.1,0.3,"7,000"
20110211,-0.8,-4.8,4,4.5,"11,600"
20110212,-3.5,-7.2,0.7,1.9,"11,000"
20110213,-3.7,-9.8,2.5,0,"11,000"
20110214,-2.4,-5.5,0.9,3.4,"13,300"
20110215,-1.3,-7.3,5.6,0,"7,000"
20110216,0.8,-6.3,7.7,1.5,"11,600"
20110217,1.6,-0.8,4.4,3.8,"11,000"
20110218,1.3,-3.9,8.1,0,"11,000"
20110219,2.3,-3.8,9.7,0,"13,300"
20110220,4.1,-2.8,11.9,0,"7,000"
20110221,4.2,-1.4,11.6,0,"11,600"
20110222,4,-2.6,12.4,0,"11,000"
20110223,4.8,-2,13.7,0,"11,000"
20110224,7.4,-0.4,16,0,"13,300"
20110225,4.8,-0.8,10.7,0,"7,000"
20110226,5.5,-2.7,12.8,0.1,"11,600"
20110227,6.1,4.1,8.6,43,"11,000"
20110228,4.9,3.4,7.2,3.8,"11,000"
20110301,2.5,-0.4,5.6,3.2,"13,300"
20110302,0,-3.3,4.3,0,"7,000"
20110303,-0.8,-5.4,4.1,0,"11,600"
20110304,0.7,-4.6,6.8,0,"11,000"
20110305,2.5,-3.8,9,0,"11,000"
20110306,4.9,-0.6,10.8,0,"13,300"
20110307,3.5,-0.1,7.6,0,"7,000"
20110308,3,-2.9,9,0,"11,600"
20110309,2,-2,6.7,0,"11,000"
20110310,2.7,-3.5,8.6,0,"11,000"
20110311,5,-1.5,12,0,"13,300"
20110312,7.6,0.4,15.4,0,"7,000"
20110313,9.8,2.4,18.1,0,"11,600"
20110314,9.1,3.9,16.1,0,"11,000"
20110315,4.1,-0.6,8.9,0,"11,000"
20110316,1.3,-2.4,5.9,0,"13,300"
20110317,2.1,-3.5,8.4,0,"7,000"
20110318,5.8,-3.6,13.8,0,"11,600"
20110319,10.5,4.3,16.4,0,"11,000"
20110320,7.1,4.5,11.3,15.2,"11,000"
20110321,7.9,4.1,13.1,0.6,"13,300"
20110322,3.6,0.1,7.7,0.4,"7,000"
20110323,2.8,-3,8.7,0,"11,600"
20110324,4.8,-0.4,10.6,2.8,"11,000"
20110325,3.1,-0.5,7.1,0.3,"11,000"
20110326,3.2,-2.9,9.3,0,"13,300"
20110327,5.5,-2.5,11.9,0,"7,000"
20110328,6.2,1,11.9,0.4,"11,600"
20110329,5.1,-1.2,11.2,0,"11,000"
20110330,7.9,0.4,15.7,0,"11,000"
20110331,9.7,1.6,19,0,"13,300"
20110401,10.9,1.5,19.8,0,"7,000"
20110402,8.9,4.7,14,0.1,"11,600"
20110403,7.2,2.8,12.1,2.6,"11,000"
20110404,7.8,1.1,15.3,0,"11,000"
20110405,9.1,0.5,18.2,0,"13,300"
20110406,11,1.3,18.9,0.7,"7,000"
20110407,11.7,9.1,14.4,17.1,"11,600"
20110408,11.7,7.1,17.4,3.3,"11,000"
20110409,10.5,3.4,18.1,0,"11,000"
20110410,12.3,4.5,19.9,0.5,"13,300"
20110411,10.1,5.1,15.4,2.7,"10,680"
20110412,10.2,1.4,18.3,0,"16,940"
20110413,12.1,3.6,20.2,0,"15,600"
20110414,13.2,4.3,21.2,0,"16,000"
20110415,16.2,9.8,23.5,0.1,"17,040"
20110416,11.5,6.1,18.8,0.1,"10,680"
20110417,11.3,4,18.7,0,"16,940"
20110418,7.9,5.1,11.8,2.7,"15,600"
20110419,9.2,4.2,15.1,0.7,"16,000"
20110420,10.8,2.8,18.5,0,"17,040"
20110421,13.4,5.4,20.3,0,"4,300 "
20110422,10.7,8.7,13.9,26.8,"10,680"
20110423,10.7,6.3,15.8,0,"16,940"
20110424,10.4,5,16,0.4,"15,600"
20110425,12.9,6.3,18.8,0.3,"16,000"
20110426,12.4,9.8,15.3,11.9,"17,040"
20110427,12.1,8.2,16.8,2.4,"4,440 "
20110428,10.2,5.9,15.4,0.7,"10,680"
20110429,13.3,4.1,19.9,0.6,"16,940"
20110430,17,13.3,21.3,37.3,"15,600"
20110501,15.1,11.2,18.7,2.3,"16,000"
20110502,15.3,9.5,21.9,0,"17,040"
20110503,16,10.8,22.5,0,"10,680"
20110504,14.4,7.4,21.3,0,"16,940"
20110505,15.1,8.5,21.8,0,"15,600"
20110506,14.9,9.5,19.3,1.1,"16,000"
20110507,17.9,13.7,24.2,1.2,"17,040"
20110508,18.4,12.3,25.5,0,"10,680"
20110509,19.7,14.1,24.6,5.7,"16,940"
20110510,18.5,15.2,22.6,41.3,"15,600"
20110511,15.8,14,18.1,46.4,"16,000"
20110512,15.1,11.6,19.3,2.9,"17,040"
20110513,16.2,10,22.2,0,"13,043"
20110514,17.6,11.1,24.3,0,"14,425"
20110515,17.7,9.3,25.6,0,"12,125"
20110516,16.6,11.2,22.5,0,"12,740"
20110517,16.2,8.6,23.5,0,"12,975"
20110518,18.9,10.4,26.1,0,"12,833"
20110519,20.4,15,25.8,0.1,"12,740"
20110520,20.2,16.4,24.5,3.3,"12,975"
20110521,17.5,14.3,22.1,4.4,"12,833"
20110522,16.9,13,22.1,1.8,"12,740"
20110523,15.7,12,20.4,3.5,"12,975"
20110524,18,9.8,26.1,0,"12,833"
20110525,18.8,13.2,24.8,0,"12,740"
20110526,16.3,14.3,19,6.2,"12,975"
20110527,16.7,14,20.1,0.7,"12,740"
20110528,18.6,13.5,24.9,0,"12,975"
20110529,19.5,13.9,26.1,0,"12,833"
20110530,19,13.6,25.2,0,"5,900 "
20110531,17.2,15.3,20,2,"12,740"
20110601,17.6,14.5,22.2,11.6,"12,975"
20110602,18.5,14.7,24.3,0,"12,833"
20110603,19.6,14.2,26.1,0,"12,740"
20110604,20.8,16.5,26,0.1,"12,975"
20110605,21.5,16.1,28.3,0,"12,833"
20110606,21.3,14.6,27.8,0,"12,740"
20110607,21.5,15.1,28.3,0,"12,975"
20110608,22.1,15.7,28.8,0.4,"12,833"
20110609,21.2,17.3,25.6,0.3,"12,740"
20110610,21.2,17.7,25.1,2.8,"12,975"
20110611,22.9,17,29.6,1.4,"12,833"
20110612,22.2,17.6,28.3,0.8,"12,740"
20110613,20.7,16.8,25.8,0.1,"12,975"
20110614,21.3,15.8,27.4,0,"12,833"
20110615,21.7,17,27.2,0.1,"7,000"
20110616,22.6,17.2,28.5,0,"11,600"
20110617,22,16.6,28.1,0,"11,000"
20110618,22.3,18.2,27.3,1.5,"11,000"
20110619,23.1,17.1,29.5,0,"13,300"
20110620,23.3,17.5,29.9,0.8,"7,000"
20110621,24.8,18.5,31.5,0.1,"11,600"
20110622,23.8,20.9,27.3,22.1,"11,000"
20110623,25.2,22.5,28.4,21.6,"11,000"
20110624,22.1,19.8,25.5,52.1,"13,300"
20110625,19.7,18.4,21.8,54.1,"7,000"
20110626,20.6,18.3,23.2,48.3,"11,600"
20110627,21.7,18.6,25.2,3.4,"11,000"
20110628,23.8,18.4,29.6,4.7,"11,000"
20110629,24.7,21.8,28.8,34,"13,300"
20110630,24.6,21.9,28.2,19.4,"7,000"
20110701,25.1,21.9,29.6,0.8,"11,600"
20110702,26,22.2,30.7,2.1,"11,000"
20110703,24.2,22.1,26.5,49.1,"11,000"
20110704,24.3,20.5,29,9,"13,300"
20110705,24.2,19,30.4,0,"7,000"
20110706,22.8,19.5,27,4.2,"11,600"
20110707,23.2,20.9,25.7,21.8,"11,000"
20110708,24.4,22.5,27.3,22.6,"11,000"
20110709,23.2,21.2,26.1,84.4,"13,300"
20110710,23.2,21,26.6,57.2,"7,000"
20110711,23.2,20.7,27,20.6,"11,600"
